too long...

root@comp3134-Winter2023:~# tcpdump -i eth0 port 22

net.cable.rogers.com.59547: Flags [P.], seq 5218036:5218248, ack 2737, win 570, length 212
20:35:29.283686 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5226516:5226728, ack 2737, win 570, length 212
20:35:29.283720 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5226728:5226940, ack 2737, win 570, length 212
20:35:29.283754 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5226940:5227152, ack 2737, win 570, length 212
20:35:29.283790 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5227152:5227364, ack 2737, win 570, length 212
20:35:29.283823 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5227364:5227576, ack 2737, win 570, length 212
20:35:29.283856 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5227576:5227788, ack 2737, win 570, length 212
20:35:29.283890 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5227788:5228000, ack 2737, win 570, length 212
20:35:29.283922 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5228000:5228212, ack 2737, win 570, length 212
20:35:29.283956 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5228212:5228424, ack 2737, win 570, length 212
20:35:29.283989 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5228424:5228636, ack 2737, win 570, length 212
20:35:29.284022 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5228636:5228848, ack 2737, win 570, length 212
20:35:29.284057 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5228848:5229060, ack 2737, win 570, length 212
20:35:29.284090 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5229060:5229272, ack 2737, win 570, length 212
20:35:29.284122 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5229272:5229484, ack 2737, win 570, length 212
20:35:29.284161 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5229484:5229696, ack 2737, win 570, length 212
20:35:29.284206 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5229696:5229908, ack 2737, win 570, length 212
20:35:29.284278 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5229908:5230120, ack 2737, win 570, length 212
20:35:29.284328 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5230120:5230332, ack 2737, win 570, length 212
20:35:29.284368 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5230332:5230544, ack 2737, win 570, length 212
20:35:29.284422 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5230544:5230756, ack 2737, win 570, length 212
20:35:29.284462 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5230756:5230968, ack 2737, win 570, length 212
20:35:29.284496 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5230968:5231180, ack 2737, win 570, length 212
20:35:29.284533 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5231180:5231392, ack 2737, win 570, length 212
20:35:29.284627 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5231392:5231604, ack 2737, win 570, length 212
20:35:29.284663 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5231604:5231816, ack 2737, win 570, length 212
20:35:29.284696 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5231816:5232028, ack 2737, win 570, length 212
20:35:29.284728 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5232028:5232240, ack 2737, win 570, length 212
20:35:29.284763 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5232240:5232452, ack 2737, win 570, length 212
20:35:29.284797 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5232452:5232664, ack 2737, win 570, length 212
20:35:29.284830 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5232664:5232876, ack 2737, win 570, length 212
20:35:29.284863 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5232876:5233088, ack 2737, win 570, length 212
20:35:29.284896 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5233088:5233300, ack 2737, win 570, length 212
20:35:29.284928 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5233300:5233512, ack 2737, win 570, length 212
20:35:29.284942 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5136428, win 17976, length 0
20:35:29.284942 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [P.], seq 2737:2773, ack 5136428, win 17976, length 36
20:35:29.285031 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5233512:5234044, ack 2773, win 570, length 532
20:35:29.285066 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5234044:5234256, ack 2773, win 570, length 212
20:35:29.285099 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5234256:5234468, ack 2773, win 570, length 212
20:35:29.285133 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5234468:5234680, ack 2773, win 570, length 212
20:35:29.285165 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5234680:5234892, ack 2773, win 570, length 212
20:35:29.285199 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5234892:5235104, ack 2773, win 570, length 212
20:35:29.285253 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5235104:5235316, ack 2773, win 570, length 212
20:35:29.285289 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5235316:5235528, ack 2773, win 570, length 212
20:35:29.285323 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5235528:5235740, ack 2773, win 570, length 212
20:35:29.285356 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5235740:5235952, ack 2773, win 570, length 212
20:35:29.285389 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5235952:5236164, ack 2773, win 570, length 212
20:35:29.285422 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5236164:5236376, ack 2773, win 570, length 212
20:35:29.285454 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5236376:5236588, ack 2773, win 570, length 212
20:35:29.285487 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5236588:5236800, ack 2773, win 570, length 212
20:35:29.285565 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5236800:5237012, ack 2773, win 570, length 212
20:35:29.285601 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5237012:5237224, ack 2773, win 570, length 212
20:35:29.285635 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5237224:5237436, ack 2773, win 570, length 212
20:35:29.285668 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5237436:5237648, ack 2773, win 570, length 212
20:35:29.285701 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5237648:5237860, ack 2773, win 570, length 212
20:35:29.285734 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5237860:5238072, ack 2773, win 570, length 212
20:35:29.285766 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5238072:5238284, ack 2773, win 570, length 212
20:35:29.285800 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5238284:5238496, ack 2773, win 570, length 212
20:35:29.285832 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5238496:5238708, ack 2773, win 570, length 212
20:35:29.285865 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5238708:5238920, ack 2773, win 570, length 212
20:35:29.285898 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5238920:5239132, ack 2773, win 570, length 212
20:35:29.285930 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5239132:5239344, ack 2773, win 570, length 212
20:35:29.285963 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5239344:5239556, ack 2773, win 570, length 212
20:35:29.285995 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5239556:5239768, ack 2773, win 570, length 212
20:35:29.286027 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5239768:5239980, ack 2773, win 570, length 212
20:35:29.286064 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5239980:5240192, ack 2773, win 570, length 212
20:35:29.286110 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5240192:5240404, ack 2773, win 570, length 212
20:35:29.286156 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5240404:5240616, ack 2773, win 570, length 212
20:35:29.286200 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5240616:5240828, ack 2773, win 570, length 212
20:35:29.286242 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5240828:5241040, ack 2773, win 570, length 212
20:35:29.286289 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5241040:5241252, ack 2773, win 570, length 212
20:35:29.286331 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5241252:5241464, ack 2773, win 570, length 212
20:35:29.286366 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5241464:5241676, ack 2773, win 570, length 212
20:35:29.286399 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5241676:5241888, ack 2773, win 570, length 212
20:35:29.286434 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5241888:5242100, ack 2773, win 570, length 212
20:35:29.286483 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5242100:5242312, ack 2773, win 570, length 212
20:35:29.286531 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5242312:5242524, ack 2773, win 570, length 212
20:35:29.286629 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5242524:5242736, ack 2773, win 570, length 212
20:35:29.286677 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5242736:5242948, ack 2773, win 570, length 212
20:35:29.286710 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5242948:5243160, ack 2773, win 570, length 212
20:35:29.286744 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5243160:5243372, ack 2773, win 570, length 212
20:35:29.286780 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5243372:5243584, ack 2773, win 570, length 212
20:35:29.286826 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5243584:5243796, ack 2773, win 570, length 212
20:35:29.286867 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5243796:5244008, ack 2773, win 570, length 212
20:35:29.286903 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5244008:5244220, ack 2773, win 570, length 212
20:35:29.286944 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5244220:5244432, ack 2773, win 570, length 212
20:35:29.286989 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5244432:5244644, ack 2773, win 570, length 212
20:35:29.287033 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5244644:5244856, ack 2773, win 570, length 212
20:35:29.287082 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5244856:5245068, ack 2773, win 570, length 212
20:35:29.287132 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5245068:5245280, ack 2773, win 570, length 212
20:35:29.287178 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5245280:5245492, ack 2773, win 570, length 212
20:35:29.287224 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5245492:5245704, ack 2773, win 570, length 212
20:35:29.287266 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5245704:5245916, ack 2773, win 570, length 212
20:35:29.287312 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5245916:5246128, ack 2773, win 570, length 212
20:35:29.287354 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5246128:5246340, ack 2773, win 570, length 212
20:35:29.287393 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5246340:5246552, ack 2773, win 570, length 212
20:35:29.287434 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5246552:5246764, ack 2773, win 570, length 212
20:35:29.287475 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5246764:5246976, ack 2773, win 570, length 212
20:35:29.287574 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5246976:5247188, ack 2773, win 570, length 212
