too long...

root@comp3134-Winter2023:~# 20:29:02.771708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610192:610348, ack 325, win 570, length 156
20:29:02.777574 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620592:620748, ack 325, win 570, length 156
20:29:02.777631 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620748:620904, ack 325, win 570, length 156
20:29:02.777696 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 620904:621060, ack 325, win 570, length 156
20:29:02.777783 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621060:621216, ack 325, win 570, length 156
20:29:02.777844 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621216:621372, ack 325, win 570, length 156
20:29:02.777902 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621372:621528, ack 325, win 570, length 156
20:29:02.777960 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621528:621684, ack 325, win 570, length 156
20:29:02.778015 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621684:621840, ack 325, win 570, length 156
20:29:02.778068 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621840:621996, ack 325, win 570, length 156
20:29:02.778321 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 621996:622152, ack 325, win 570, length 156
20:29:02.778397 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622152:622308, ack 325, win 570, length 156
20:29:02.778457 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622308:622464, ack 325, win 570, length 156
20:29:02.778521 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622464:622620, ack 325, win 570, length 156
20:29:02.778576 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622620:622776, ack 325, win 570, length 156
20:29:02.778628 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622776:622932, ack 325, win 570, length 156
20:29:02.779107 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 622932:623088, ack 325, win 570, length 156
20:29:02.779217 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623088:623244, ack 325, win 570, length 156
20:29:02.779276 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623244:623400, ack 325, win 570, length 156
20:29:02.779332 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623400:623556, ack 325, win 570, length 156
20:29:02.779390 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623556:623712, ack 325, win 570, length 156
20:29:02.779444 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623712:623868, ack 325, win 570, length 156
20:29:02.779496 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 623868:624024, ack 325, win 570, length 156
20:29:02.779559 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624024:624180, ack 325, win 570, length 156
20:29:02.779612 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624180:624336, ack 325, win 570, length 156
20:29:02.779672 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624336:624492, ack 325, win 570, length 156
20:29:02.779733 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624492:624648, ack 325, win 570, length 156
20:29:02.779788 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624648:624804, ack 325, win 570, length 156
20:29:02.779842 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624804:624960, ack 325, win 570, length 156
20:29:02.779897 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 624960:625116, ack 325, win 570, length 156
20:29:02.779950 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625116:625272, ack 325, win 570, length 156
20:29:02.780009 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625272:625428, ack 325, win 570, length 156
20:29:02.780065 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625428:625584, ack 325, win 570, length 156
20:29:02.780123 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625584:625740, ack 325, win 570, length 156
20:29:02.780188 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625740:625896, ack 325, win 570, length 156
20:29:02.780412 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 625896:626052, ack 325, win 570, length 156
20:29:02.780611 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626052:626208, ack 325, win 570, length 156
20:29:02.780695 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626208:626364, ack 325, win 570, length 156
20:29:02.780946 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626364:626520, ack 325, win 570, length 156
20:29:02.781010 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626520:626676, ack 325, win 570, length 156
20:29:02.781183 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626676:626832, ack 325, win 570, length 156
20:29:02.781250 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626832:626988, ack 325, win 570, length 156
20:29:02.781303 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 626988:627144, ack 325, win 570, length 156
20:29:02.781350 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627144:627300, ack 325, win 570, length 156
20:29:02.781398 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627300:627456, ack 325, win 570, length 156
20:29:02.781446 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627456:627612, ack 325, win 570, length 156
20:29:02.781582 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627612:627768, ack 325, win 570, length 156
20:29:02.781648 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627768:627924, ack 325, win 570, length 156
20:29:02.781702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 627924:628080, ack 325, win 570, length 156
20:29:02.781751 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628080:628236, ack 325, win 570, length 156
20:29:02.781802 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628236:628392, ack 325, win 570, length 156
20:29:02.781866 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628392:628548, ack 325, win 570, length 156
20:29:02.781936 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628548:628704, ack 325, win 570, length 156
20:29:02.782092 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628704:628860, ack 325, win 570, length 156
20:29:02.782145 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 628860:629016, ack 325, win 570, length 156
20:29:02.782338 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629016:629172, ack 325, win 570, length 156
20:29:02.782407 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629172:629328, ack 325, win 570, length 156
20:29:02.782461 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629328:629484, ack 325, win 570, length 156
20:29:02.782512 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629484:629640, ack 325, win 570, length 156
20:29:02.782568 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629640:629796, ack 325, win 570, length 156
20:29:02.782618 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629796:629952, ack 325, win 570, length 156
20:29:02.782679 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 629952:630108, ack 325, win 570, length 156
20:29:02.782729 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630108:630264, ack 325, win 570, length 156
20:29:02.782780 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630264:630420, ack 325, win 570, length 156
20:29:02.782830 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630420:630576, ack 325, win 570, length 156
20:29:02.782880 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630576:630732, ack 325, win 570, length 156
20:29:02.782928 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630732:630888, ack 325, win 570, length 156
20:29:02.782975 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 630888:631044, ack 325, win 570, length 156
20:29:02.783020 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 631044:631200, ack 325, win 570, length 156
20:29:02.783068 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 631200:631356, ack 325, win 570, length 156
20:29:02.783120 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 631356:631512, ack 325, win 570, length 156
20:29:02.783854 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 591196, win 17970, length 0
20:29:02.783854 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 596344, win 17976, length 0
20:29:02.783854 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 602272, win 17976, length 0
20:29:02.783899 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 631512:631668, ack 325, win 570, length 156
20:29:02.784092 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 631668:632136, ack 325, win 570, length 468
20:29:02.784153 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632136:632292, ack 325, win 570, length 156
20:29:02.784206 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632292:632448, ack 325, win 570, length 156
20:29:02.784255 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632448:632604, ack 325, win 570, length 156
20:29:02.784306 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632604:632760, ack 325, win 570, length 156
20:29:02.784356 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632760:632916, ack 325, win 570, length 156
20:29:02.784405 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 632916:633072, ack 325, win 570, length 156
20:29:02.784453 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633072:633228, ack 325, win 570, length 156
20:29:02.784573 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633228:633384, ack 325, win 570, length 156
20:29:02.784638 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633384:633540, ack 325, win 570, length 156
20:29:02.784689 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633540:633696, ack 325, win 570, length 156
20:29:02.784840 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633696:633852, ack 325, win 570, length 156
20:29:02.784894 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 633852:634008, ack 325, win 570, length 156
20:29:02.784942 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634008:634164, ack 325, win 570, length 156
20:29:02.784997 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634164:634320, ack 325, win 570, length 156
20:29:02.785166 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634320:634476, ack 325, win 570, length 156
20:29:02.785223 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634476:634632, ack 325, win 570, length 156
20:29:02.785270 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634632:634788, ack 325, win 570, length 156
20:29:02.785320 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634788:634944, ack 325, win 570, length 156
20:29:02.785372 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 634944:635100, ack 325, win 570, length 156
20:29:02.785423 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635100:635256, ack 325, win 570, length 156
20:29:02.785471 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635256:635412, ack 325, win 570, length 156
20:29:02.785523 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635412:635568, ack 325, win 570, length 156
20:29:02.785572 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635568:635724, ack 325, win 570, length 156
20:29:02.785794 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635724:635880, ack 325, win 570, length 156
20:29:02.785845 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 635880:636036, ack 325, win 570, length 156
20:29:02.785897 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636036:636192, ack 325, win 570, length 156
20:29:02.785947 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636192:636348, ack 325, win 570, length 156
20:29:02.785998 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636348:636504, ack 325, win 570, length 156
20:29:02.786048 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636504:636660, ack 325, win 570, length 156
20:29:02.786132 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636660:636816, ack 325, win 570, length 156
20:29:02.786185 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636816:636972, ack 325, win 570, length 156
20:29:02.786237 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 636972:637128, ack 325, win 570, length 156
20:29:02.786293 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637128:637284, ack 325, win 570, length 156
20:29:02.786343 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637284:637440, ack 325, win 570, length 156
20:29:02.786392 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637440:637596, ack 325, win 570, length 156
20:29:02.786442 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637596:637752, ack 325, win 570, length 156
20:29:02.786492 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637752:637908, ack 325, win 570, length 156
20:29:02.786541 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 637908:638064, ack 325, win 570, length 156
20:29:02.786593 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638064:638220, ack 325, win 570, length 156
20:29:02.786652 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638220:638376, ack 325, win 570, length 156
20:29:02.786720 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638376:638532, ack 325, win 570, length 156
20:29:02.786771 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638532:638688, ack 325, win 570, length 156
20:29:02.786821 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638688:638844, ack 325, win 570, length 156
20:29:02.786873 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 638844:639000, ack 325, win 570, length 156
20:29:02.786925 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639000:639156, ack 325, win 570, length 156
20:29:02.786976 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639156:639312, ack 325, win 570, length 156
20:29:02.787027 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639312:639468, ack 325, win 570, length 156
20:29:02.787078 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639468:639624, ack 325, win 570, length 156
20:29:02.787125 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639624:639780, ack 325, win 570, length 156
20:29:02.787175 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639780:639936, ack 325, win 570, length 156
20:29:02.787223 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 639936:640092, ack 325, win 570, length 156
20:29:02.787272 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640092:640248, ack 325, win 570, length 156
20:29:02.787319 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640248:640404, ack 325, win 570, length 156
20:29:02.787590 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640404:640560, ack 325, win 570, length 156
20:29:02.787668 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640560:640716, ack 325, win 570, length 156
20:29:02.787733 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640716:640872, ack 325, win 570, length 156
20:29:02.787784 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 640872:641028, ack 325, win 570, length 156
20:29:02.787830 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641028:641184, ack 325, win 570, length 156
20:29:02.787876 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641184:641340, ack 325, win 570, length 156
20:29:02.787970 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641340:641496, ack 325, win 570, length 156
20:29:02.788028 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641496:641652, ack 325, win 570, length 156
20:29:02.788105 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641652:641808, ack 325, win 570, length 156
20:29:02.788186 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641808:641964, ack 325, win 570, length 156
20:29:02.788239 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 641964:642120, ack 325, win 570, length 156
20:29:02.788288 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642120:642276, ack 325, win 570, length 156
20:29:02.788353 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642276:642432, ack 325, win 570, length 156
20:29:02.788402 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642432:642588, ack 325, win 570, length 156
20:29:02.788460 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642588:642744, ack 325, win 570, length 156
20:29:02.788578 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642744:642900, ack 325, win 570, length 156
20:29:02.788636 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 642900:643056, ack 325, win 570, length 156
20:29:02.788713 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643056:643212, ack 325, win 570, length 156
20:29:02.788764 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643212:643368, ack 325, win 570, length 156
20:29:02.788813 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643368:643524, ack 325, win 570, length 156
20:29:02.788859 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643524:643680, ack 325, win 570, length 156
20:29:02.788905 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 643680:643836, ack 325, win 570, length 156
